bookID,title,authors,isbn
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,0439785960
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,0439358078
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,0439554896
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,043965548X
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,0439682584
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,0976540606
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,0439827604
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,0517226952
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,0345453743
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,1400052920
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,0739322206
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,0517149257
21,A Short History of Nearly Everything,Bill Bryson,076790818X
22,Bill Bryson's African Diary,Bill Bryson,0767915062
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,0767910435
24,In a Sunburned Country,Bill Bryson,0767903862
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,076790382X
26,The Lost Continent: Travels in Small Town America,Bill Bryson,0060920084
27,Neither Here nor There: Travels in Europe,Bill Bryson,0380713802
28,Notes from a Small Island,Bill Bryson,0380727501
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,0380715430
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,0345538374
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,0618517650
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,0618346252
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,0618260587
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,0618391002
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,0618510826
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,097669400X
50,Hatchet (Brian's Saga  #1),Gary Paulsen,0689840926
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,1557344493
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,0385326505
54,Molly Hatchet - 5 of the Best,Molly Hatchet,1575606240
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,1595580271
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,1595962808
58,Changeling (Changeling  #1),Delia Sherman,0670059676
59,The Changeling Sea,Patricia A. McKillip,0141312629
61,The Changeling,Zilpha Keatley Snyder,0595321801
63,The Changeling,Kate Horsley,1590301943
66,The Changeling (Daughters of England  #15),Philippa Carr,0449146979
67,The Known World,Edward P. Jones,0061159174
68,The Known World,Edward P. Jones/Kevin R. Free,006076273X
69,The Known World,Edward P. Jones,0060749911
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,0273704745
72,Artesia: Adventures in the Known World,Mark Smylie,1932386106
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,0374517193
75,Uncommon Carriers,John McPhee,0374280398
76,Heirs of General Practice,John McPhee,0374519749
77,The Control of Nature,John McPhee,0374522596
78,Annals of the Former World,John McPhee,0374518734
79,Coming Into the Country,John McPhee,0374522871
80,La Place de la Concorde Suisse,John McPhee,0374519323
81,Giving Good Weight,John McPhee,0374516006
83,Rising from the Plains,John McPhee,0374520658
85,The Heidi Chronicles,Wendy Wasserstein,0822205106
